1_year_treasury_bill,10_year_treasury_constant_maturity,time_period,federal_funds
0.5,1.76,2016-05-05,0.37
0.51,1.79,2016-05-04,0.37
0.52,1.81,2016-05-03,0.37
0.54,1.88,2016-05-02,0.37
,,2016-05-01,0.3
,,2016-04-30,0.3
0.55,1.83,2016-04-29,0.3
0.55,1.84,2016-04-28,0.37
0.57,1.87,2016-04-27,0.37
0.6,1.94,2016-04-26,0.37
0.54,1.91,2016-04-25,0.37
,,2016-04-24,0.37
,,2016-04-23,0.37
0.53,1.89,2016-04-22,0.37
0.53,1.88,2016-04-21,0.37
0.51,1.85,2016-04-20,0.37
0.51,1.79,2016-04-19,0.37
0.5,1.78,2016-04-18,0.37
,,2016-04-17,0.37
,,2016-04-16,0.37
0.51,1.76,2016-04-15,0.37
0.53,1.8,2016-04-14,0.37
0.53,1.77,2016-04-13,0.37
0.52,1.79,2016-04-12,0.37
0.51,1.73,2016-04-11,0.37
,,2016-04-10,0.37
,,2016-04-09,0.37
0.52,1.72,2016-04-08,0.37
0.51,1.7,2016-04-07,0.37
0.54,1.76,2016-04-06,0.37
0.55,1.73,2016-04-05,0.37
0.58,1.78,2016-04-04,0.37
,,2016-04-03,0.37
,,2016-04-02,0.37
0.61,1.79,2016-04-01,0.37
0.58,1.78,2016-03-31,0.25
0.6,1.83,2016-03-30,0.37
0.62,1.81,2016-03-29,0.37
0.62,1.89,2016-03-28,0.37
,,2016-03-27,0.37
,,2016-03-26,0.37
-9999.0,-9999.0,2016-03-25,0.37
0.6,1.91,2016-03-24,0.37
0.61,1.88,2016-03-23,0.37
0.61,1.94,2016-03-22,0.37
0.6,1.92,2016-03-21,0.37
,,2016-03-20,0.37
,,2016-03-19,0.37
0.6,1.88,2016-03-18,0.37
0.62,1.91,2016-03-17,0.37
0.64,1.94,2016-03-16,0.37
0.69,1.97,2016-03-15,0.37
0.68,1.97,2016-03-14,0.36
,,2016-03-13,0.36
,,2016-03-12,0.36
0.68,1.98,2016-03-11,0.36
0.67,1.93,2016-03-10,0.36
0.66,1.9,2016-03-09,0.36
0.66,1.83,2016-03-08,0.36
0.65,1.91,2016-03-07,0.36
,,2016-03-06,0.36
,,2016-03-05,0.36
0.66,1.88,2016-03-04,0.36
0.64,1.83,2016-03-03,0.37
0.66,1.84,2016-03-02,0.37
0.67,1.83,2016-03-01,0.36
0.6,1.74,2016-02-29,0.29
,,2016-02-28,0.37
,,2016-02-27,0.37
0.57,1.76,2016-02-26,0.37
0.54,1.71,2016-02-25,0.37
0.53,1.75,2016-02-24,0.38
0.53,1.74,2016-02-23,0.38
0.53,1.77,2016-02-22,0.38
,,2016-02-21,0.38
,,2016-02-20,0.38
0.51,1.76,2016-02-19,0.38
0.51,1.75,2016-02-18,0.38
0.51,1.81,2016-02-17,0.37
0.49,1.78,2016-02-16,0.38
-9999.0,-9999.0,2016-02-15,0.38
,,2016-02-14,0.38
,,2016-02-13,0.38
0.49,1.74,2016-02-12,0.38
0.46,1.63,2016-02-11,0.38
0.51,1.71,2016-02-10,0.38
0.51,1.74,2016-02-09,0.38
0.5,1.75,2016-02-08,0.38
,,2016-02-07,0.38
,,2016-02-06,0.38
0.54,1.86,2016-02-05,0.38
0.51,1.87,2016-02-04,0.38
0.53,1.88,2016-02-03,0.38
0.53,1.87,2016-02-02,0.38
0.46,1.97,2016-02-01,0.38
,,2016-01-31,0.29
,,2016-01-30,0.29
0.44,1.94,2016-01-29,0.29
0.45,2.0,2016-01-28,0.38
0.44,2.02,2016-01-27,0.38
0.45,2.01,2016-01-26,0.38
0.44,2.03,2016-01-25,0.38
,,2016-01-24,0.38
,,2016-01-23,0.38
0.45,2.07,2016-01-22,0.38
0.42,2.02,2016-01-21,0.37
0.41,2.01,2016-01-20,0.37
0.46,2.06,2016-01-19,0.36
-9999.0,-9999.0,2016-01-18,0.36
,,2016-01-17,0.36
,,2016-01-16,0.36
0.47,2.03,2016-01-15,0.36
0.53,2.1,2016-01-14,0.36
0.58,2.08,2016-01-13,0.36
0.6,2.12,2016-01-12,0.36
0.61,2.17,2016-01-11,0.36
,,2016-01-10,0.36
,,2016-01-09,0.36
0.62,2.13,2016-01-08,0.36
0.64,2.16,2016-01-07,0.36
0.65,2.18,2016-01-06,0.36
0.67,2.25,2016-01-05,0.36
0.57,2.24,2016-01-04,0.36
,,2016-01-03,0.2
,,2016-01-02,0.2
-9999.0,-9999.0,2016-01-01,0.2
0.61,2.27,2015-12-31,0.2
0.6,2.31,2015-12-30,0.35
0.63,2.32,2015-12-29,0.36
0.63,2.24,2015-12-28,0.36
,,2015-12-27,0.36
,,2015-12-26,0.36
-9999.0,-9999.0,2015-12-25,0.36
0.61,2.25,2015-12-24,0.36
0.62,2.27,2015-12-23,0.36
0.63,2.24,2015-12-22,0.36
0.62,2.2,2015-12-21,0.36
,,2015-12-20,0.37
,,2015-12-19,0.37
0.65,2.19,2015-12-18,0.37
0.67,2.24,2015-12-17,0.37
0.68,2.3,2015-12-16,0.15
0.67,2.28,2015-12-15,0.15
0.66,2.23,2015-12-14,0.15
,,2015-12-13,0.14
,,2015-12-12,0.14
0.66,2.13,2015-12-11,0.14
0.69,2.24,2015-12-10,0.14
0.7,2.22,2015-12-09,0.14
0.74,2.24,2015-12-08,0.13
0.64,2.23,2015-12-07,0.13
,,2015-12-06,0.13
,,2015-12-05,0.13
0.57,2.28,2015-12-04,0.13
0.54,2.33,2015-12-03,0.13
0.49,2.18,2015-12-02,0.13
0.48,2.15,2015-12-01,0.13
0.48,2.21,2015-11-30,0.08
,,2015-11-29,0.12
,,2015-11-28,0.12
0.47,2.22,2015-11-27,0.12
-9999.0,-9999.0,2015-11-26,0.12
0.49,2.23,2015-11-25,0.12
0.49,2.24,2015-11-24,0.12
0.48,2.25,2015-11-23,0.12
,,2015-11-22,0.12
,,2015-11-21,0.12
0.47,2.26,2015-11-20,0.12
0.47,2.24,2015-11-19,0.12
0.47,2.27,2015-11-18,0.12
0.48,2.25,2015-11-17,0.13
0.48,2.27,2015-11-16,0.13
,,2015-11-15,0.12
,,2015-11-14,0.12
0.49,2.28,2015-11-13,0.12
0.5,2.32,2015-11-12,0.12
-9999.0,-9999.0,2015-11-11,0.12
0.5,2.32,2015-11-10,0.12
0.43,2.36,2015-11-09,0.12
,,2015-11-08,0.12
,,2015-11-07,0.12
0.43,2.34,2015-11-06,0.12
0.39,2.26,2015-11-05,0.12
0.37,2.25,2015-11-04,0.12
0.36,2.23,2015-11-03,0.12
0.34,2.2,2015-11-02,0.12
,,2015-11-01,0.07
,,2015-10-31,0.07
0.32,2.16,2015-10-30,0.07
0.31,2.19,2015-10-29,0.12
0.31,2.1,2015-10-28,0.12
0.27,2.05,2015-10-27,0.12
0.23,2.07,2015-10-26,0.12
,,2015-10-25,0.12
,,2015-10-24,0.12
0.23,2.09,2015-10-23,0.12
0.22,2.04,2015-10-22,0.12
0.22,2.04,2015-10-21,0.13
0.22,2.08,2015-10-20,0.13
0.22,2.04,2015-10-19,0.13
,,2015-10-18,0.13
,,2015-10-17,0.13
0.22,2.04,2015-10-16,0.13
0.21,2.04,2015-10-15,0.13
0.21,1.99,2015-10-14,0.13
0.24,2.06,2015-10-13,0.13
-9999.0,-9999.0,2015-10-12,0.13
,,2015-10-11,0.13
,,2015-10-10,0.13
0.25,2.12,2015-10-09,0.13
0.24,2.12,2015-10-08,0.13
0.24,2.08,2015-10-07,0.13
0.23,2.05,2015-10-06,0.13
0.24,2.07,2015-10-05,0.13
,,2015-10-04,0.13
,,2015-10-03,0.13
0.23,1.99,2015-10-02,0.13
0.29,2.05,2015-10-01,0.13
0.31,2.06,2015-09-30,0.07
0.31,2.05,2015-09-29,0.13
0.32,2.1,2015-09-28,0.13
,,2015-09-27,0.13
,,2015-09-26,0.13
0.33,2.17,2015-09-25,0.13
0.31,2.13,2015-09-24,0.14
0.33,2.16,2015-09-23,0.14
0.34,2.14,2015-09-22,0.14
0.35,2.2,2015-09-21,0.14
,,2015-09-20,0.14
,,2015-09-19,0.14
0.34,2.13,2015-09-18,0.14
0.38,2.21,2015-09-17,0.14
0.45,2.3,2015-09-16,0.14
0.46,2.28,2015-09-15,0.14
0.37,2.18,2015-09-14,0.14
,,2015-09-13,0.14
,,2015-09-12,0.14
0.37,2.2,2015-09-11,0.14
0.36,2.23,2015-09-10,0.14
0.36,2.21,2015-09-09,0.14
0.36,2.2,2015-09-08,0.14
-9999.0,-9999.0,2015-09-07,0.14
,,2015-09-06,0.14
,,2015-09-05,0.14
0.34,2.13,2015-09-04,0.14
0.34,2.18,2015-09-03,0.14
0.35,2.2,2015-09-02,0.14
0.37,2.17,2015-09-01,0.14
0.37,2.21,2015-08-31,0.08
,,2015-08-30,0.14
,,2015-08-29,0.14
0.36,2.19,2015-08-28,0.14
0.35,2.18,2015-08-27,0.14
0.34,2.18,2015-08-26,0.14
0.35,2.12,2015-08-25,0.15
0.32,2.01,2015-08-24,0.15
,,2015-08-23,0.15
,,2015-08-22,0.15
0.35,2.05,2015-08-21,0.15
0.38,2.09,2015-08-20,0.15
0.38,2.12,2015-08-19,0.15
0.41,2.2,2015-08-18,0.15
0.37,2.16,2015-08-17,0.15
,,2015-08-16,0.14
,,2015-08-15,0.14
0.38,2.2,2015-08-14,0.14
0.37,2.19,2015-08-13,0.15
0.35,2.14,2015-08-12,0.15
0.35,2.15,2015-08-11,0.15
0.37,2.24,2015-08-10,0.14
,,2015-08-09,0.14
,,2015-08-08,0.14
0.36,2.18,2015-08-07,0.14
0.33,2.23,2015-08-06,0.14
0.36,2.28,2015-08-05,0.14
0.35,2.23,2015-08-04,0.14
0.31,2.16,2015-08-03,0.14
,,2015-08-02,0.08
,,2015-08-01,0.08
0.31,2.2,2015-07-31,0.08
0.34,2.28,2015-07-30,0.14
0.32,2.29,2015-07-29,0.14
0.31,2.26,2015-07-28,0.14
0.31,2.23,2015-07-27,0.14
,,2015-07-26,0.13
,,2015-07-25,0.13
0.31,2.27,2015-07-24,0.13
0.32,2.28,2015-07-23,0.13
0.33,2.33,2015-07-22,0.13
0.33,2.35,2015-07-21,0.13
0.28,2.38,2015-07-20,0.14
,,2015-07-19,0.13
,,2015-07-18,0.13
0.26,2.34,2015-07-17,0.13
0.26,2.36,2015-07-16,0.14
0.25,2.36,2015-07-15,0.13
0.24,2.41,2015-07-14,0.13
0.25,2.44,2015-07-13,0.13
,,2015-07-12,0.13
,,2015-07-11,0.13
0.26,2.42,2015-07-10,0.13
0.23,2.32,2015-07-09,0.13
0.22,2.22,2015-07-08,0.13
0.23,2.27,2015-07-07,0.13
0.24,2.3,2015-07-06,0.13
,,2015-07-05,0.13
,,2015-07-04,0.13
-9999.0,-9999.0,2015-07-03,0.13
0.25,2.4,2015-07-02,0.13
0.27,2.43,2015-07-01,0.13
0.27,2.35,2015-06-30,0.08
0.26,2.33,2015-06-29,0.14
,,2015-06-28,0.13
,,2015-06-27,0.13
0.28,2.49,2015-06-26,0.13
0.28,2.4,2015-06-25,0.13
0.29,2.38,2015-06-24,0.13
0.29,2.42,2015-06-23,0.13
0.24,2.37,2015-06-22,0.13
,,2015-06-21,0.13
,,2015-06-20,0.13
0.22,2.26,2015-06-19,0.13
0.23,2.35,2015-06-18,0.14
0.24,2.32,2015-06-17,0.14
0.25,2.32,2015-06-16,0.14
0.25,2.36,2015-06-15,0.13
,,2015-06-14,0.13
,,2015-06-13,0.13
0.26,2.39,2015-06-12,0.13
0.26,2.39,2015-06-11,0.13
0.26,2.5,2015-06-10,0.13
